#sim    dm      wave_um     fwhm_asec   std_asec
iGLAO   open    0.48700     0.508396    0.0131930
iGLAO   open    0.62500     0.459951    0.0151876
iGLAO   open    0.77000     0.424043    0.0188770
iGLAO   open    0.87000     0.404885    0.0177995
iGLAO   open    1.02000     0.377413    0.0201914
iGLAO   open    1.25000     0.345914    0.0222707
iGLAO   open    1.65000     0.303733    0.0244067
iGLAO   open    2.20000     0.266525    0.0271470
MAOS    open    0.47000     0.501353    0.0128037
MAOS    open    0.68000     0.427633    0.0133358
MAOS    open    0.76000     0.419764    0.0131990
MAOS    open    0.91000     0.390290    0.0171107
MAOS    open    1.22000     0.349669    0.0151334
MAOS    open    1.65000     0.294865    0.0378418
MAOS    open    2.18000     0.258997    0.0333521
iGLAO   DM0     0.47000     0.477371    0.0093440
iGLAO   DM0     0.68000     0.396309    0.0152999
iGLAO   DM0     0.76000     0.363712    0.0163322
iGLAO   DM0     0.91000     0.307162    0.0189619
iGLAO   DM0     1.22000     0.230972    0.0222355
iGLAO   DM0     1.65000     0.180729    0.0236817
iGLAO   DM0     2.18000     0.145830    0.0262808
MAOS    DM0     0.47000     0.342550    0.0225528
MAOS    DM0     0.68000     0.263606    0.0268128
MAOS    DM0     0.76000     0.243531    0.0299095
MAOS    DM0     0.91000     0.212231    0.0311856
MAOS    DM0     1.22000     0.170948    0.0349343
MAOS    DM0     1.65000     0.128805    0.0453879
MAOS    DM0     2.18000     0.110217    0.0387643
GLAO    AM2     0.47000     0.542842    0.0119013
GLAO    AM2     0.68000     0.465195    0.0147498
GLAO    AM2     0.76000     0.440511    0.0161316
GLAO    AM2     0.91000     0.399025    0.0158372
GLAO    AM2     1.22000     0.329806    0.0176650
GLAO    AM2     1.65000     0.265426    0.0198512
GLAO    AM2     2.18000     0.221098    0.0194370
MAOS    AM2     0.47000     0.360194    0.0302150
MAOS    AM2     0.68000     0.283520    0.0371249
MAOS    AM2     0.76000     0.262841    0.0394211
MAOS    AM2     0.91000     0.231476    0.0397135
MAOS    AM2     1.22000     0.185849    0.0426879
MAOS    AM2     1.65000     0.139652    0.0498597
MAOS    AM2     2.18000     0.115693    0.0415453
